TransactionID,TransactionDT,TransactionAmt,ProductCD,card_id,device_id,card_type,card_bank,P_emaildomain,addr_match,DeviceType,isFraud
132305,7369.1294547218295,12.96,S,2073,6581,debit,HDFC,gmail.com,0,mobile,1
101900,9656.397097037541,72.57,W,5847,14720,credit,Other,gmail.com,0,tablet,1
116746,10325.224400702476,192.46,W,7304,7241,debit,SBI,gmail.com,1,mobile,1
105631,10619.324891087155,3096.22,W,4026,6551,debit,Other,temp-mail.org,0,desktop,1
100259,11141.880900396329,397.12,W,4439,17455,debit,Axis,temp-mail.org,0,mobile,1
103037,11236.347164976441,26.07,C,4984,7404,credit,Kotak,anonymous.com,0,desktop,1
146143,11367.561469698641,11.81,C,4624,15869,debit,HDFC,temp-mail.org,0,desktop,1
132906,11541.658895258906,58.18,W,1513,12473,debit,Other,yahoo.com,1,mobile,1
100265,13029.048569702063,66.85,W,5879,14037,credit,ICICI,temp-mail.org,0,mobile,1
141207,13140.758140332204,11.88,S,3911,6797,credit,HDFC,temp-mail.org,0,desktop,1
102478,13432.240631191946,31.78,C,6081,12694,credit,Axis,anonymous.com,0,tablet,1
123403,13523.368959306932,20.63,C,8019,15855,credit,Axis,gmail.com,0,desktop,1
129519,13884.972749913106,15.79,H,2159,6823,debit,ICICI,gmail.com,0,desktop,1
110842,14142.026450881096,66.52,H,3057,9215,debit,SBI,hotmail.com,0,mobile,1
124227,14195.803936968796,36.49,W,5124,8254,credit,SBI,anonymous.com,0,unknown,1
129234,14473.99077581794,10.63,C,3350,7587,credit,Other,hotmail.com,0,unknown,1
108915,14976.291090683902,59.19,H,2388,5271,credit,Kotak,anonymous.com,1,unknown,1
106460,15076.598444373287,80.63,H,5925,17024,debit,SBI,temp-mail.org,1,desktop,1
108068,15086.259944293783,234.91,H,4170,5517,credit,ICICI,gmail.com,0,mobile,1
106994,15147.382346176455,16.52,C,1153,12317,debit,SBI,yahoo.com,1,desktop,1
143376,15315.605036146648,88.21,H,1184,8117,debit,ICICI,anonymous.com,0,desktop,1
133203,15318.427188369951,55.55,H,7097,17449,credit,SBI,temp-mail.org,0,mobile,1
117044,15485.62193938755,13.75,C,1643,10842,credit,ICICI,gmail.com,0,desktop,1
119830,15506.867311825721,180.32,W,2763,6547,credit,HDFC,gmail.com,0,desktop,1
129778,15527.7703311047,37.12,C,5915,7364,debit,ICICI,anonymous.com,1,desktop,1
118710,15537.396268009066,75.36,H,6669,7466,credit,Other,anonymous.com,0,mobile,1
146715,15552.909103094576,351.36,W,6712,15164,debit,SBI,outlook.com,1,desktop,1
140626,15559.02754760348,1502.89,W,4882,8241,credit,Other,anonymous.com,1,mobile,1
110837,15862.665698478233,13.84,S,1956,11012,debit,SBI,temp-mail.org,0,tablet,1
127847,16034.80228370656,31.56,C,3521,7655,credit,ICICI,temp-mail.org,1,tablet,1
131778,16188.682483674893,61.23,W,2432,8922,debit,Other,temp-mail.org,1,desktop,1
149735,16664.23602352531,115.99,H,6224,8869,credit,SBI,hotmail.com,0,desktop,1
107535,16699.104844220637,12.52,C,7002,16354,credit,Kotak,temp-mail.org,1,desktop,1
108104,16896.07266351128,7.51,C,1410,12318,debit,SBI,temp-mail.org,1,desktop,1
122589,17128.90180351983,46.26,H,1676,13036,credit,Other,gmail.com,1,mobile,1
140884,17142.967315855058,12.46,S,2849,15761,credit,ICICI,temp-mail.org,0,mobile,1
139811,17255.939970002393,53.0,H,2258,10731,credit,ICICI,gmail.com,0,mobile,1
122064,17346.061613053847,7.38,W,7259,7292,credit,Axis,yahoo.com,0,mobile,1
104484,17650.188936423598,15.68,C,5398,14464,credit,ICICI,outlook.com,0,mobile,1
112284,17986.13202732518,28.48,W,1451,10927,debit,Other,anonymous.com,0,desktop,1
111432,18018.59371494593,125.96,W,4032,7450,credit,HDFC,anonymous.com,1,mobile,1
134893,18361.454429666243,46.72,W,5642,16050,credit,ICICI,yahoo.com,0,desktop,1
120684,18462.932165905586,47.54,C,4842,12156,debit,Axis,yahoo.com,0,mobile,1
148111,18987.793688083028,125.22,H,5749,16076,credit,SBI,yahoo.com,0,tablet,1
118205,19231.075736535688,221.97,W,4690,10730,credit,ICICI,anonymous.com,0,desktop,1
139566,19262.426126593713,50.33,C,4476,15910,debit,Axis,anonymous.com,1,mobile,1
130955,19464.823890339052,66.6,W,2104,14240,credit,ICICI,temp-mail.org,1,desktop,1
117342,19497.937745798747,26.28,H,2069,17459,credit,ICICI,temp-mail.org,0,desktop,1
132042,19736.031289652983,42.41,H,8463,13636,credit,ICICI,yahoo.com,0,mobile,1
125966,19788.280675143396,17.61,W,3053,7524,debit,SBI,temp-mail.org,0,unknown,1
100030,20116.561213249402,36.79,W,3099,6714,credit,Other,anonymous.com,1,unknown,1
136533,20128.84412025128,18.1,S,2748,11244,credit,SBI,temp-mail.org,0,tablet,1
118470,20330.312415952925,57.44,H,5186,8028,debit,HDFC,yahoo.com,0,mobile,1
107560,20348.09886757361,35.67,W,6617,12647,credit,ICICI,yahoo.com,1,mobile,1
133200,20397.733833158807,51.66,W,6434,8814,credit,Other,anonymous.com,1,mobile,1
104773,20798.82017528522,24.85,H,3830,16049,debit,Axis,gmail.com,0,mobile,1
149170,20934.530580414394,150.57,H,3118,17432,debit,Kotak,anonymous.com,1,mobile,1
146419,20964.804348300717,6.6,S,3423,5726,credit,SBI,yahoo.com,1,unknown,1
149173,21219.022806728935,25.62,W,8284,8758,debit,ICICI,hotmail.com,1,mobile,1
